Category,Title,Intro,Image,Credits (sources),Tags,Article URL
"Techno, Matériaux",Un matériau de 15 x 15cm capable de soulever une voiture de 2 tonnes,"Dans le domaine de la robotique, un matériau innovant a vu le jour, conçu à partir de cellulose nanofibres (CNFs) dérivées du bois. Ce matériau, une sorte d’hydrogel spécialement développé, a été mis au point par des chercheurs en Suède et en Allemagne. Il a la capacité de changer de forme, de se dilater et de se contracter à la demande lorsqu’il est contrôlé par des impulsions électroniques de moins de 1 volt. une force suffisante pour briser une petite brique",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72824.jpg,,"carbone, cellulose, electronique, hydrogel, impulsion, nanofibres, nanotube, robotique",https://www.enerzine.com/un-materiau-de-15-x-15cm-capable-de-soulever-une-voiture-de-2-tonnes/72824-2023-10
"Techno, Matériaux",Une nouvelle technique pour faire glisser l’eau comme jamais auparavant,"Alors que l’eau interagit constamment avec les surfaces solides, une équipe de chercheurs a développé un mécanisme innovant pour rendre les surfaces glissantes pour les gouttelettes d’eau.  SAMs",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72843.jpg,,"eau, friction, glissance, gouttelette, monocouche, surface solide",https://www.enerzine.com/une-nouvelle-technique-pour-faire-glisser-leau-comme-jamais-auparavant/72843-2023-10
"Techno, Matériaux",La fibre de carbone recyclée : une économie d’énergie de 90 %,"Les voitures ultra-légères fabriquées à partir de fibres de carbone recyclées seront peut être bientôt une réalité, grâce à une nouvelle méthode de recyclage développée par des chercheurs australiens.",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72835.jpg,,"carbone, dechet, fibre, recyclage, ultra-leger, voitures",https://www.enerzine.com/la-fibre-de-carbone-recyclee-une-economie-denergie-de-90/72835-2023-10
"Techno, Recherche",Une forme unique qui modifie notre perception de la géométrie,"Dans le monde fascinant de la géométrie, une découverte récente a suscité un intérêt sans précédent. Une forme unique, qui défie les lois traditionnelles de la répétition, a été mise en lumière par une équipe internationale de chercheurs. Cette forme, qui a été reconnue par le magazine TIME comme l’une des meilleures inventions de 2023, est en train de changer notre façon de percevoir la géométrie et l’espace. un motif qui ne peut jamais être répété monotile aperiodique",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72852.jpg,,"einstein, forme, geometrie, pavage",https://www.enerzine.com/une-forme-unique-qui-modifie-notre-perception-de-la-geometrie/72852-2023-10
"Enviro, Risques",Incendie : un capteur en papier pour déjouer les pièges de la fumée,"Une équipe de recherche américaine travaille sur le développement d’un capteur en papier économique capable de fournir rapidement des informations sur l’exposition d’une personne à la fumée pendant la saison des incendies de forêt.  1,9 million de dollars biosenseur en papier nanozyme",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72873.jpg,,"capteur, forêt, fumee, incendie, nanozyme, papier",https://www.enerzine.com/incendie-un-capteur-en-papier-pour-dejouer-les-pieges-de-la-fumee/72873-2023-10
"Enviro, Durable",Comment parler d’écologie en entreprise ?,"Une entreprise pérenne qui se développe sans cesse sur son marché prend irrémédiablement en compte toutes les considérations RSE. Économies, sociales et écologiques s’alignent ainsi de concert pour la réussite de l’entreprise. Le volet écologique est particulièrement transversal et se met en place sur divers aspects de la vie d’une boîte, de la réflexion autour des matières premières jusqu’à la sensibilisation de ces collaborateurs qui peut se faire via une conférence d’entreprise.",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72973.jpg,,,https://www.enerzine.com/comment-parler-decologie-en-entreprise/72973-2023-10
"Mobilité, Terrestre","Avec Honda Motocompacto, emporter votre moyen de transport n’importe où","Inspiré par le Honda Motocompo des années 80, le tout nouveau Honda Motocompacto redéfinit le transport personnel tout électrique abordable avec un design pliable ultra-compact innovant et un style épuré et simple.",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72913_1.jpg,,"electrique, environnement, honda, Motocompacto, transport",https://www.enerzine.com/avec-honda-motocompo-emporter-votre-moyen-de-transport-nimporte-ou/72913-2023-10
"Mobilité, Terrestre",Ducati dévoile le moteur monocylindre le plus puissant du monde,"Après une pause de 30 ans, Ducati revient à la production d’un monocylindre routier, inspiré par la légendaire Supermono 550. Le nouveau modèle, baptisé Superquadro Mono, promet de redéfinir les normes de performance dans sa catégorie. Desmodromic   Panigale 1299 moteur Panigale capable d’atteindre 10 250 tr/min* Termignoni diamètre de 116 mm box  in box Desmodromic Superquadro Mono  MotoGP Ducati",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72880.jpg,Source : Ducati / Crédit vidéo & Photos : Ducati,"Desmodromic, Ducati, monocylindre, performance, Superquadro Mono",https://www.enerzine.com/ducati-devoile-le-moteur-monocylindre-le-plus-puissant-du-monde/72880-2023-10
"Renouvelable, Hydrogène",Mitsubishi Power : 100 tonnes d’hydrogène vert par jour,"Mitsubishi marque une étape importante dans le développement de l’hydrogène vert avec la livraison de son premier lot d’équipements majeurs pour son usine de production d’hydrogène intégrée Hydaptive, qui fait partie du Hub de Stockage d’Énergie Propre Avancée (ACES Delta Hub) dans la ville américaine de Delta basée dans l’État de l’Utah. ACES Delta Hub Mitsubishi Power J-series",https://www.enerzine.com/wp-content/uploads/2023/10/arti_73096.jpg,,"Hydaptive, hydrogene vert, mitsubishi, renouvelable",https://www.enerzine.com/mitsubishi-power-100-tonnes-dhydrogene-vert-par-jour/73096-2023-10
"Techno, Batterie",La batterie à ions magnésium quasi-solide qui se rapproche des performances du Li-ion,"Une équipe de recherche à Hong Kong a réalisé une avancée significative dans le domaine des technologies de batteries. Ils ont développé une batterie à ions magnésium (Mg-ion) quasi-solide de haute performance. Ce design innovant offre une alternative durable, sûre et à haute densité d’énergie aux batteries lithium-ion conventionnelles, répondant aux limitations de rareté des matériaux et aux préoccupations de sécurité. Science Advances la batterie à ions magnésium quasi-solide -22°C",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72986.jpg,,"batterie, durabilite, Ions magnesium, QSMB, stockage energie",https://www.enerzine.com/la-batterie-a-ions-magnesium-quasi-solide-qui-se-rapproche-des-performances-du-li-ion/72986-2023-10
